"","mz","intensity"
"1",100.001156610221,0
"2",100.002667938004,0
"3",100.004179300049,0
"4",100.005690696356,0
"5",100.04802370776,0
"6",100.049536098132,0
"7",100.051048522798,0
"8",100.052560981759,0
"9",100.054073475015,4241.4462890625
"10",100.055586002568,7617.3544921875
"11",100.057098564418,8959.861328125
"12",100.058611160568,7830.2119140625
"13",100.060123791017,4819.9130859375
"14",100.061636395666,0
"15",100.063149094719,0
"16",100.064661828074,0
"17",100.066174595733,0
"18",100.364860200279,0
"19",100.366379780619,0
"20",100.367899395471,0
"21",100.369419044835,0
"22",100.370938728713,4976.2392578125
"23",100.372458447104,9089.10546875
"24",100.373978200011,11022.908203125
"25",100.375497987435,10822.1005859375
"26",100.377017809376,8852.6015625
"27",100.378537665835,5439.3125
"28",100.380057402799,0
"29",100.381577328298,0
"30",100.383097288319,0
"31",100.384617282863,0
"32",101.061385350937,0
"33",101.062920777423,0
"34",101.064456238902,0
"35",101.065991735374,0
"36",101.06752726684,959.239013671875
"37",101.0690628333,6843.4189453125
"38",101.070598434757,16066.3193359375
"39",101.072134071211,19975.361328125
"40",101.073669742664,14870.0966796875
"41",101.075205449116,5057.6982421875
"42",101.076741004039,0
"43",101.078276780493,0
"44",101.079812591949,0
"45",101.081348438408,0
"46",102.045027969432,0
"47",102.046585867198,0
"48",102.04814380064,0
"49",102.04970176976,0
"50",102.051259774558,0
"51",102.052817815036,10294.9443359375
"52",102.054375891194,22564.21875
"53",102.055934003035,28724.9453125
"54",102.057492150558,24403.837890625
"55",102.059050333765,13251.5107421875
"56",102.060608552657,2729.55053710938
"57",102.062165235321,0
"58",102.063723525587,0
"59",102.065281851541,0
"60",102.066840213185,0
"61",110.059491968251,0
"62",110.061236956977,0
"63",110.062981987204,0
"64",110.064727058933,0
"65",110.066472172165,2841.61303710938
"66",110.068217326901,47119.671875
"67",110.069962523143,120375.5234375
"68",110.071707760892,174407.40625
"69",110.073453040149,164740.421875
"70",110.075198360916,99927.890625
"71",110.076943723194,31424.00390625
"72",110.078689126984,0
"73",110.080433952558,0
"74",110.082179439376,0
"75",110.083924967711,0
"76",110.085670537563,0
"77",113.321816651307,0
"78",113.323639798515,0
"79",113.32546298972,0
"80",113.327286224925,0
"81",113.329109504129,4386.1123046875
"82",113.330932827334,7018.376953125
"83",113.332756194542,9006.6796875
"84",113.334579605755,8864.5654296875
"85",113.336403060973,6013.048828125
"86",113.338225212989,0
"87",113.340048756223,0
"88",113.341872343466,0
"89",113.343695974721,0
"90",120.068164042071,0
"91",120.070152394669,0
"92",120.072140796659,0
"93",120.074129248043,0
"94",120.076117748822,1850.66040039062
"95",120.078106298997,22670.322265625
"96",120.08009489857,49823.0390625
"97",120.082083547543,62173.5625
"98",120.084072245918,49338.95703125
"99",120.086060993695,22738.734375
"100",120.088049790878,2497.44409179688
"101",120.090037447655,0
"102",120.092026343652,0
"103",120.094015289059,0
"104",120.096004283876,0
"105",126.113039777083,0
"106",126.115180161199,0
"107",126.117320599805,0
"108",126.119461092902,0
"109",126.121601640494,4088.07885742188
"110",126.123742242582,38041.76953125
"111",126.125882899166,95478.2734375
"112",126.128023610251,140019.28125
"113",126.130164375837,134503.5625
"114",126.132305195926,83071.6328125
"115",126.134446070519,27041.990234375
"116",126.13658699962,475.760498046875
"117",126.138727791699,0
"118",126.140868829819,0
"119",126.143009922451,0
"120",126.145151069598,0
"121",127.11639347046,0
"122",127.118559448724,0
"123",127.120725482348,0
"124",127.122891571335,0
"125",127.125057715686,2932.45288085938
"126",127.127223915404,39839.546875
"127",127.12939017049,104059.890625
"128",127.131556480946,152733.96875
"129",127.133722846774,145044.046875
"130",127.135889267976,87789.296875
"131",127.138055744554,27218.490234375
"132",127.140222276509,0
"133",127.142388672325,0
"134",127.144555315041,0
"135",127.146722013141,0
"136",127.148888766626,0
"137",128.118618263791,0
"138",128.120809908447,0
"139",128.123001609341,0
"140",128.125193366473,0
"141",128.127385179846,0
"142",128.129577049462,22125.583984375
"143",128.131768975323,87605.96875
"144",128.133960957431,157986.109375
"145",128.136152995787,179579
"146",128.138345090394,134095.890625
"147",128.140537241253,59883.31640625
"148",128.142729448367,8603.05078125
"149",128.144921711737,850.674072265625
"150",128.147113853641,0
"151",128.14930622953,0
"152",128.151498661681,0
"153",128.153691150095,0
"154",129.052942918818,0
"155",129.055158581589,0
"156",129.05737430142,0
"157",129.059590078314,0
"158",129.061805912271,434.699951171875
"159",129.064021803295,9285.9189453125
"160",129.066237751387,15606.7431640625
"161",129.06845375655,14048.3291015625
"162",129.070669818784,6577.5068359375
"163",129.072885924304,0
"164",129.075102100689,0
"165",129.077318334151,0
"166",129.079534624693,0
"167",129.121654992789,0
"168",129.123872425342,0
"169",129.126089915015,0
"170",129.128307461812,0
"171",129.130525065734,906.909912109375
"172",129.132742726782,29216.80078125
"173",129.13496044496,99610.84375
"174",129.137178220269,180210.96875
"175",129.13939605271,209989.46875
"176",129.141613942286,163107.6875
"177",129.143831889,78729.2109375
"178",129.146049892851,16163.0166015625
"179",129.148267953844,0
"180",129.150485839138,0
"181",129.152704014418,0
"182",129.154922246845,0
"183",129.15714053642,0
"184",130.125299809828,0
"185",130.127543146363,0
"186",130.12978654091,0
"187",130.132029993471,0
"188",130.134273504049,0
"189",130.136517072646,30408.6953125
"190",130.138760699263,98187.7421875
"191",130.141004383903,162832.796875
"192",130.143248126567,172789.796875
"193",130.145491927258,119673.2890625
"194",130.147735785977,47894.7421875
"195",130.149979702727,4115.9013671875
"196",130.15222348691,0
"197",130.154467519727,0
"198",130.156711610581,0
"199",130.158955759473,0
"200",131.122537057673,0
"201",131.124806231947,0
"202",131.127075465125,0
"203",131.129344757211,0
"204",131.131614108206,2192.55932617188
"205",131.133883518112,41806.63671875
"206",131.136152986932,111474.9453125
"207",131.138422514667,167234.953125
"208",131.140692101319,163789.59375
"209",131.142961746891,105244.140625
"210",131.145231451384,39775.31640625
"211",131.147501214801,5349.5263671875
"212",131.149620774773,0
"213",131.151890656042,0
"214",131.154160596242,0
"215",131.156430595373,0
"216",147.060057739378,0
"217",147.062752963674,0
"218",147.065448262065,0
"219",147.068143634555,0
"220",147.070839081144,6412.3134765625
"221",147.073534601837,11369.2197265625
"222",147.076230196636,15282.2822265625
"223",147.078925865544,15344.5791015625
"224",147.081621608564,11398.7265625
"225",147.084317425697,6106.0107421875
"226",147.086479589368,0
"227",147.089175554737,0
"228",147.09187159423,0
"229",147.094567707847,0
"230",169.043408989358,0
"231",169.046730629319,0
"232",169.050052367184,0
"233",169.053374202957,0
"234",169.056696136642,4610.3486328125
"235",169.060018168242,10526.6298828125
"236",169.063340297762,12058.9912109375
"237",169.066662525205,7453.6220703125
"238",169.069984850575,1157.19067382812
"239",169.073294646888,0
"240",169.076617168124,0
"241",169.079939787298,0
"242",169.083262504415,0
"243",172.04907402191,0
"244",172.052484645238,0
"245",172.055895369983,0
"246",172.059306196148,0
"247",172.062717123738,5466.65234375
"248",172.066128152756,17028.7421875
"249",172.069539283207,33222.5
"250",172.072950515095,42109.1015625
"251",172.076361848424,35297.04296875
"252",172.079773283197,17946.6328125
"253",172.083184819419,3108.97143554688
"254",172.086414351225,0
"255",172.089826090356,0
"256",172.093237930949,0
"257",172.096649873006,0
"258",173.957493869713,0
"259",173.960961403085,0
"260",173.964429040135,0
"261",173.967896780869,0
"262",173.971364625291,6135.36328125
"263",173.974832573403,7481.8466796875
"264",173.978300625212,8369.48046875
"265",173.98176878072,8515.8203125
"266",173.985237039933,7719.8857421875
"267",173.988705402853,6154.8359375
"268",173.992167948719,0
"269",173.995636519068,0
"270",173.999105193138,0
"271",174.002573970932,0
"272",175.100423185963,0
"273",175.103924948968,0
"274",175.10742681702,0
"275",175.110928790121,0
"276",175.114430868277,5589.6103515625
"277",175.117933051491,10772.26171875
"278",175.121435339769,11741.3349609375
"279",175.124937733113,7400.3642578125
"280",175.128440231529,1586.14721679688
"281",175.131937424501,0
"282",175.135440133072,0
"283",175.138942946726,0
"284",175.142445865469,0
"285",176.141543977671,0
"286",176.145077018643,0
"287",176.148610165915,0
"288",176.152143419489,0
"289",176.155676779371,4876.841796875
"290",176.159210245565,11335.400390625
"291",176.162743818075,12512.609375
"292",176.166277496905,8927.46875
"293",176.169811282059,6297.322265625
"294",176.173323417847,0
"295",176.176857415663,0
"296",176.180391519817,0
"297",176.183925730312,0
"298",180.327066537972,0
"299",180.330726254338,0
"300",180.334386082115,0
"301",180.338046021307,0
"302",180.341706071919,4694.41015625
"303",180.345366233956,7491.2529296875
"304",180.349026507421,9054.732421875
"305",180.35268689232,8438.1875
"306",180.356347388657,6136.4521484375
"307",180.359797667011,0
"308",180.363458386238,0
"309",180.367119216915,0
"310",180.370780159049,0
"311",185.142158791286,0
"312",185.145966070908,0
"313",185.149773467971,0
"314",185.153580982479,0
"315",185.157388614437,1340.57104492188
"316",185.16119636385,11797.58203125
"317",185.165004230723,19966.640625
"318",185.16881221506,19062.21484375
"319",185.172620316866,10916.056640625
"320",185.176428536147,3996.83911132812
"321",185.180231163782,0
"322",185.184039618025,0
"323",185.187848189757,0
"324",185.191656878982,0
"325",186.063115007851,0
"326",186.066950730853,0
"327",186.070786572466,0
"328",186.074622532696,0
"329",186.078458611547,7243.3466796875
"330",186.082294809025,10777.4931640625
"331",186.086131125134,14498.0419921875
"332",186.089967559879,14465.7900390625
"333",186.093804113265,8533.271484375
"334",186.097640785296,267.13525390625
"335",186.101471247758,0
"336",186.105308157096,0
"337",186.109145185095,0
"338",186.112982331759,0
"339",187.083739356902,0
"340",187.087606683824,0
"341",187.091474130663,0
"342",187.095341697422,0
"343",187.099209384109,4950.3876953125
"344",187.103077190726,18051.923828125
"345",187.10694511728,30552.72265625
"346",187.110813163775,32294.875
"347",187.114681330217,21705.1640625
"348",187.118549616609,8625.802734375
"349",187.122418022958,4400.501953125
"350",187.126275704132,0
"351",187.130144350408,0
"352",187.134013116654,0
"353",187.137882002877,0
"354",188.836215415335,0
"355",188.840137209412,0
"356",188.844059125663,0
"357",188.847981164092,0
"358",188.851903324705,4551.720703125
"359",188.855825607507,8094.591796875
"360",188.859748012503,9489.1015625
"361",188.863670539697,8279.1953125
"362",188.867593189096,5887.724609375
"363",188.871498165341,0
"364",188.875421059163,0
"365",188.879344075205,0
"366",188.88326721347,0
"367",191.707875204927,0
"368",191.711886797654,0
"369",191.715898516298,0
"370",191.719910360866,0
"371",191.723922331362,3468.11059570312
"372",191.727934427791,7306.962890625
"373",191.731946650159,9024.1630859375
"374",191.735958998471,7657.5498046875
"375",191.739971472732,4703.7548828125
"376",191.743731678244,0
"377",191.74774440442,0
"378",191.751757256561,0
"379",191.755770234672,0
"380",200.109455035722,0
"381",200.113733216336,0
"382",200.118011534146,0
"383",200.122289989159,0
"384",200.126568581381,5050.6435546875
"385",200.130847310816,16335.1845703125
"386",200.135126177472,33461.515625
"387",200.139405181353,44961.8984375
"388",200.143684322466,40125.55859375
"389",200.147963600817,21087.640625
"390",200.152243016412,1862.28491210938
"391",200.156615546564,0
"392",200.160895236664,0
"393",200.165175064024,0
"394",200.169455028651,0
"395",213.131870074123,0
"396",213.136572586449,0
"397",213.141275254409,0
"398",213.14597807801,0
"399",213.150681057259,1276.64672851562
"400",213.155384192162,10020.7060546875
"401",213.160087482727,15340.3369140625
"402",213.164790928961,12993.8349609375
